Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour,bib_src
149-166-223-255-62X,Systemic Risk in the Insurance Sector: A Review of Current Assessment Approaches,,2012.0,journal article,SSRN Electronic Journal,15565068,Elsevier BV,,Andreas Jobst,,,,,,Income protection insurance; Self-insurance; General insurance; Actuarial science; Economics; Casualty insurance; Key person insurance; Insurability; Financial risk management; Risk pool,,,,,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID2068718_code337763.pdf?abstractid=2022062&mirid=1 https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2022062 https://www.ssrn.com/abstract=2022062,http://dx.doi.org/10.2139/ssrn.2022062,,10.2139/ssrn.2022062,1974414937,,0,012-862-775-688-483; 013-030-199-192-643; 017-486-496-247-162; 030-364-846-509-149; 040-204-360-693-062; 062-660-137-583-255; 074-837-054-796-016; 083-508-652-775-775; 086-210-829-387-696; 100-910-802-848-846; 108-742-882-991-933; 136-550-267-264-784; 161-638-612-825-021; 197-129-658-402-674,2,False,,,lens
118-189-914-677-407,Moore's Law vs. Murphy's Law in the Financial System: Who's Winning? *,,2016.0,journal article,SSRN Electronic Journal,15565068,Elsevier BV,,Andrew W. Lo,"Breakthroughs in computing hardware, software, telecommunications, and data analytics have transformed the financial industry, enabling a host of new products and services such as automated trading algorithms, crypto-currencies, mobile banking, crowdfunding, and robo-advisors. However, the unintended consequences of technology-leveraged finance include firesales, flash crashes, botched initial public offerings, cybersecurity breaches, catastrophic algorithmic trading errors, and a technological arms race that has created new winners, losers, and systemic risk in the financial ecosystem. These challenges are an unavoidable aspect of the growing importance of finance in an increasingly digital society. Rather than fighting this trend or forswearing technology, the ultimate solution is to develop more robust technology capable of adapting to the foibles in human behavior so users can employ these tools safely, effectively, and effortlessly. Examples of such technology are provided.",,,,,Financial services; Business; Systemic risk; Actuarial science; Mobile banking; Unintended consequences; Risk management; Computer security; Murphy's law; FinTech; Algorithmic trading,,,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2789737&rec=1&srcabs=2789736&alg=1&pos=1 https://www.bis.org/publ/work564.pdf https://papers.ssrn.com/sol3/Delivery.cfm?delivery_id=2720724&frd=yes&redirectFrom=true https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2720724 https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID2720724_code17399.pdf?abstractid=2720724&mirid=1 https://www.bis.org/publ/work564.htm,http://dx.doi.org/10.2139/ssrn.2720724,,10.2139/ssrn.2720724,2258258633,,0,001-467-864-854-245; 003-635-366-444-078; 007-676-799-491-992; 013-824-863-771-315; 014-529-638-450-114; 016-036-619-446-547; 018-209-392-602-415; 024-875-779-231-702; 033-580-124-541-257; 043-686-046-452-23X; 054-086-481-716-543; 059-442-876-206-345; 071-822-808-161-420; 075-436-356-038-404; 075-851-916-227-704; 083-874-058-446-063; 084-506-085-390-71X; 089-308-393-175-805; 104-292-627-025-008; 108-534-489-147-107; 111-219-303-580-382; 111-265-934-091-259; 113-317-225-923-790; 118-515-233-486-42X; 119-793-693-373-895; 126-005-947-125-968; 154-404-472-941-083; 165-704-467-144-091; 166-903-548-921-807; 169-416-262-019-878; 193-810-819-595-844,5,True,cc-by-sa,green,lens
017-429-285-645-063,Blockchain-Enabled Integrated Market Platform for Contract Production,,2020.0,journal article,IEEE Access,21693536,Institute of Electrical and Electronics Engineers (IEEE),United States,Chia-Hung Liao; Hui-En Lin; Shyan-Ming Yuan,"Contract production and transaction are very common and important since it can greatly reduce future uncertainty and is well-organized by buyers, sellers, and trusted third parties (TTPs). However, current commodity trading systems (such as spot, futures, and forward contract) are still traditional centralized structures, which means that there may always be concerned about the single point of failure and data corruption. Besides, even though there already exists fragmentary decentralized applications (DApps) for the marketplace, order management, resale, delivery, financing, and insurance, they are not integrated for operating contract production and transaction comprehensively. In this work, a blockchain-enabled integrated marketing platform (BeIMP) is proposed for contract production and transactions. BeIMP is a consortium blockchain (CsBc) framework that enables better safety, efficiency, and interoperability among stakeholders. BeIMP can directly match producers and consumers and reduce the problem of intermediaries’ improper market operation. BeIMP has a three-tier risk diversification mechanism. First, both parties can know the quantity and price according to the contract specification (CSpec) in advance to avoid future uncertainty. Second, the buyers can resell the established order if they need, thereby diversifying the risk. Third, the concept of insurance is introduced to reduce force majeure and other systemic risks. BeIMP can also help producers get the loan from the financial institution (FI) if they need fund for production. We implement and demonstrate the prototype in contract farming (CF) first and discuss its generalizability to other scenarios. Experiment results show that the smart contract (SC) function is stable enough and the proof of authority (PoA) has the advantage in throughput and can give users a better experience.",8,,211007,211027,Futures contract; Intermediary; Business; Systemic risk; Force majeure; Smart contract; Contract farming; Forward contract; Industrial organization; Database transaction,,,,"Research and implementation development of a huge data security collection system for machines based on edge computing, from the AI Center, Tung-Hai University",https://ieeexplore.ieee.org/document/9265212/ https://doi.org/10.1109/ACCESS.2020.3039620 https://scholar.nycu.edu.tw/en/publications/blockchain-enabled-integrated-market-platform-for-contract-produc https://dblp.uni-trier.de/db/journals/access/access8.html#LiaoLY20,http://dx.doi.org/10.1109/access.2020.3039620,,10.1109/access.2020.3039620,3110335306,,0,001-780-810-658-450; 003-797-536-688-879; 004-031-419-697-124; 006-598-400-325-769; 008-010-382-860-348; 011-748-145-166-714; 012-046-164-695-996; 012-416-301-078-19X; 017-166-148-957-755; 019-231-589-676-044; 026-426-278-110-688; 031-409-957-370-445; 044-935-248-148-149; 047-398-775-632-600; 047-689-016-497-014; 048-016-834-583-205; 049-747-320-115-151; 050-410-371-991-743; 052-270-995-768-006; 053-708-356-159-167; 055-050-784-061-400; 059-386-145-723-791; 070-729-291-655-360; 071-730-119-056-184; 078-020-637-042-354; 078-177-438-579-218; 084-405-479-006-095; 089-141-590-296-129; 090-735-306-830-472; 096-126-705-119-818; 096-210-991-451-214; 103-464-738-994-241; 123-587-318-628-080; 141-233-018-646-775; 154-669-270-509-106; 160-684-759-985-979; 177-719-252-404-99X,11,True,"CC BY, CC BY-NC-ND",gold,lens
072-393-291-479-834,The SER spread under the ECB quantitative easing,2019-09-01,2019.0,journal article,European Financial and Accounting Journal,18022197,Prague University of Economics and Business,,Jakub Jakl,"This paper discusses the effects of the ECB's asset purchase programmes (APPs) on the SER spread, while the main focus is given to detail intraday analysis of implementation of the Public Sector Purchase Programme (PSPP). The SER spread is perceived as an important indicator of interbank trust in the Eurozone and its elevated level normally signals distortion and mistrust among commercial banks with a power to spill over into the whole financial sector. Recent development on interbank markets and especially within monetary policy in the Eurozone could have impaired the ability of the SER spread to act as a proxy for global systemic risk. The SER spread in this study was constructed and calculated using relevant European financial data and the consequent analysis was made on intraday and high-frequency (HF) 2015-2017 data. The ECB's APP, mainly PSPP, together with other instruments of monetary policy have impact on both legs of the SER spread and this paper tries to identify and quantify the degree of this effect by detailed HF market data analysis. HF intraday approach analysis is also being implemented in order to identify which leg of the SER spread was decisive in determining the SER spread change in the first three years of the PSPP implementation. Whether it was the ""sovereign bond-based leg"" directly affected by the ECB's PSPP purchases or the ""interbank lending / STIR-based leg"".",14,2,43,70,Market data; Monetary policy; Business; Systemic risk; Interbank lending market; Order (exchange); TED spread; Quantitative easing; Bond; Financial system,,,,,https://www.econstor.eu/handle/10419/242272 https://efaj.vse.cz/artkey/efa-201902-0003_the-ser-spread-under-the-ecb-quantitative-easing.php https://ideas.repec.org/a/prg/jnlefa/v2019y2019i2id226p43-70.html https://www.econstor.eu/bitstream/10419/242272/1/1695257278.pdf,http://dx.doi.org/10.18267/j.efaj.226,,10.18267/j.efaj.226,2996668168,,0,001-518-450-157-260; 010-451-520-171-82X; 016-590-693-609-330; 047-369-795-550-415; 053-148-949-562-987; 053-899-855-350-024; 054-245-706-208-597; 073-268-285-366-845; 092-326-957-460-028; 096-050-571-745-793; 106-838-476-691-859; 161-113-992-934-921,0,True,cc-by,gold,lens
061-972-790-917-349,"Systemic, sectoral risk and the myth of a corporate savings glut : background note",2018-04-30,2018.0,,,,,,Vincent Dadam Kosga Djaowe; Nicola Viegi,"This note investigates the nature of corporate savings in South Africa. The first part focuses on the empirical impact of uncertainty on investment in the manufacturing sector, while the second part discusses factors influencing corporate cash hoarding and assesses whether South African firms’ behavior is peculiar. The results show that sectoral and systemic risks – our measures of uncertainty – consistently impede investment in the South African manufacturing sector, which could explain in part for firms increasing their savings. Further reasons for that behavior include precautionary measures when economic conditions are unfavorable, increasing appetite for investment abroad at the expense of domestic investment, cash provision for amortization purposes and balance sheet management.",,,1,13,Fixed investment; Business; Systemic risk; Return on investment; Balance sheet; Amortization (business); Investment (macroeconomics); Cash; Current account; Monetary economics,,,,,http://documents.worldbank.org/curated/en/887671531920857295/Systemic-sectoral-risk-and-the-myth-of-a-corporate-savings-glut-background-note,http://documents.worldbank.org/curated/en/887671531920857295/Systemic-sectoral-risk-and-the-myth-of-a-corporate-savings-glut-background-note,,,2911609640,,0,,0,False,,,lens
083-594-077-325-180,Bank Size Effect in the Deposit Market: Evidence from Bank Branch Ownership Changes,2015-07-01,2015.0,journal article,Academy of Accounting and Financial Studies Journal,10963685,Allied Academies,United States,Huabing Wang,"INTRODUCTION The most recent financial crisis has put large banks under the spotlight for the systematic risks they bring to the economy. The massive bailout of these banks has been troubling for regulators. During a senate hearing on establishing a framework for systemic risk regulation in 2009, Sheila Bair, then Chairman of the U.S. Federal Deposit Insurance Corporation (FDIC), states that ""the notion of too big to fail creates a vicious circle that needs to be broken."" She further states in her testimony the need to ""develop a resolution regime that provides for the orderly wind-down of large, systemically important financial firms, without imposing large costs to the taxpayer."" While debatable, many even have advocated the breaking-up of large banks to avoid the ""too-big-to-fail"" problem and future financial catastrophe. The Progressive Change Institute, who recently released a poll result showing bipartisan backing for breaking up big banks, is an example of such advocate groups (Schroeder, 2015). The Economist magazine held a debate on whether big banks should be broken up on May 14, 2013, and the post-debate poll indicated favorable public sentiment with 83% yes vote. However, technology advances and heightened regulation have favored large banks as never before. For example, Wheelock and Wilson (2010) suggest that information technology has tended to favor larger institutions for two reasons. First, larger institutions can more easily bear the relatively high fixed cost of information processing equipment and software. Secondly, the new technologies have eroded the value of close proximity and personal relationships in gaining soft information, which has been an advantage of small institutions. Regarding regulation, Peirce et al (2014) conduct a small bank survey covering 200 banks across 41 states, and report substantially increased compliance costs in the wake of new regulations such as Dodd-Frank for participating banks. Indeed, according to FDIC data, U.S. banking assets and deposits have continued to consolidate since the financial crisis of 2008. Tracy (2013) reports in a Wall Street Journal article that the number of federally insured institutions has shrank to 6,891 in the third quarter of 2013, and community banks might be ""too small to survive"". While technology and regulation both put small banks at a disadvantage, community banks have many advantages compared with large banks in the deposit market. The ability to source low-cost stable core deposits can significantly lower bank funding cost, contributing to the bank's financial well-being. Small banks are known for their more personalized services, lower checking fees, and more lending flexibility (Kadlec, 2014). According to the 2013 Banking satisfaction study by J. D. Powers, smaller banks have higher scores regarding fees and problem resolution. At the same time, the ability of banks to attract transaction and savings deposits from businesses and consumers is an important measure of a bank's acceptance by the public (Rose and Hudgins, 2012, P. 397). Community banks are viewed as part of the local economy, and indeed, they tend to keep their sourced deposits in the local community. In the wake of the recent global financial crisis, the resentment towards the largest banks of the country has grown, and as mentioned earlier, the idea of breaking up large banks has gained support and advocated by many advocate groups. Therefore, the depositor sentiment may also play in the smaller banks' favor. Of course, large banks do offer more convenience thanks to their larger branch and ATM network. The scale of economy allows them to provide more cutting-edge technology and security features appreciated by customers (Kadlec, 2014). On balance, it is an empirical question whether larger or smaller banks have an upper hand in the competition for deposits. This paper attempts to shed light on this question. Specifically, we examine the effect of bank size on deposit market competition, by utilizing a natural laboratory setting where branch offices experience ownership change among banks of different sizes. …",19,3,309,,Finance; Systemic risk; Economics; Monetary system; Financial crisis; Bailout; Too big to fail; Competition (economics); Economies of scale; Financial system; Bank run,,,,,https://www.questia.com/library/journal/1P3-3965157971/bank-size-effect-in-the-deposit-market-evidence-from,https://www.questia.com/library/journal/1P3-3965157971/bank-size-effect-in-the-deposit-market-evidence-from,,,2586236706,,0,,0,False,,,lens
028-354-372-629-884,Development and determinants of systemic risk in European banking – an empirical note,2009-02-05,2009.0,journal article,Applied Economics Letters,13504851; 14664291,Informa UK Limited,United Kingdom,Helmut Herwartz; Martin Siegel,"Compared with the broad supply of theoretical approaches towards systemic risk in (international) banking systems empirical contributions measuring its degree or potential triggering factors are rather scarce. Kwast and de Nicolo (2002) put systemic risk and (conditional) stock price correlations into a unique relation. Adopting this perspective, we provide a dynamic conditional correlation (DCC, Engle, 2002) analysis for the European banking sector. Our sample period covers establishment and advent of the Euro. Apart from time variation of correlation measures we investigate the content of exogenous factor variables to explain correlation patterns. Overall, we find a moderate and stable average level of systemic risk in European banking. The advent of the Euro came along with a 1-year period of short-run transition dynamics. Systemic risk is found to increase over states of high uncertainty in national stock markets and states of small-to-medium variation in European interest rates.",16,4,431,438,Financial economics; Systemic risk; Economics; Interest rate; Stock price; Exogenous factor; Banking sector; Average level; Stock (geology),,,,,https://ideas.repec.org/a/taf/apeclt/v16y2009i4p431-438.html https://www.tandfonline.com/doi/full/10.1080/09603100802047027 https://EconPapers.repec.org/RePEc:taf:apeclt:v:16:y:2009:i:4:p:431-438,http://dx.doi.org/10.1080/09603100802047027,,10.1080/09603100802047027,2158783453,,0,000-510-880-092-476; 000-846-266-307-085; 015-953-689-874-418; 021-362-483-183-884; 029-652-108-487-444; 034-451-769-376-469; 039-081-890-423-26X; 058-273-019-371-687; 065-327-126-170-308; 077-880-737-976-959; 087-053-648-444-575; 087-657-663-494-244; 095-037-640-171-955; 099-808-954-104-462; 136-247-986-607-382; 139-323-005-682-790; 182-401-964-998-619,0,False,,,lens
047-217-189-761-199,Social dynamics of financial networks,2017-05-01,2017.0,,Research Papers in Economics,,,,Teruyoshi Kobayashi; Taro Takaguchi,"The global financial crisis in 2007-2009 demonstrated that systemic risk can spread all over the world through a complex web of financial linkages, yet we still lack fundamental knowledge about the evolution of the financial web. In particular, interbank credit networks shape the core of the financial system, in which a time-varying interconnected risk emerges from a massive number of temporal transactions between banks. The current lack of understanding of the mechanics of interbank networks makes it difficult to evaluate and control systemic risk. Here, we uncover fundamental dynamics of interbank networks by seeking the patterns of daily transactions between individual banks. We find stable interaction patterns between banks from which distinctive network-scale dynamics emerge. In fact, the dynamical patterns discovered at the local and network scales share common characteristics with social communication patterns of humans. To explain the origin of ""social"" dynamics in interbank networks, we provide a simple model that allows us to generate a sequence of synthetic daily networks characterized by the observed dynamical properties. The discovery of dynamical principles at the daily resolution will enhance our ability to assess systemic risk and could contribute to the real-time management of financial stability.",,,,,Financial economics; Business; Systemic risk; Control (management); Financial networks; Financial crisis; Simple (philosophy); Social communication; Financial stability; Social dynamics,,,,,https://EconPapers.repec.org/RePEc:arx:papers:1703.10832 https://ideas.repec.org/p/arx/papers/1703.10832.html,https://EconPapers.repec.org/RePEc:arx:papers:1703.10832,,,3121399930,,0,,0,False,,,lens
081-489-376-256-587,Essays on Financial Intermediation,,2018.0,dissertation,,,,,A. F. Silva,"This thesis includes three essays investigating different aspects of financial intermediation.; ; Chapter 1 examines the impact of banks’ collective liquidity mismatch policies on the stability of the financial sector. Using a novel identification strategy exploiting the presence of partially overlapping peer groups, I show that the liquidity created by individual banks is driven by the liquidity transformation activity of their peers. These correlated liquidity mismatch decisions are asymmetric and concentrated on the asset-side component of liquidity creation. Importantly, this strategic behavior increases both the default risk of individual institutions and overall systemic risk. From a macroprudential perspective, the results highlight the importance of explicitly regulating systemic liquidity risk.; ; Chapter 2 analyzes the credit supply and real sector effects of bank bail-ins by exploiting the unexpected failure of a major Portuguese bank and subsequent resolution. Using a matched firm-bank dataset on credit exposures and interest rates, we show that while banks more exposed to the bail-in significantly reduced credit supply at the intensive margin, affected firms compensated the tightening of overall credit with other sources of funding. Nevertheless, SMEs were subject to a binding contraction of funds available through credit lines and reduced investment and employment. These dampening effects are explained by the pre-shock internal liquidity position of smaller firms.; ; Finally, Chapter 3 examines the impact of a nationwide banking expansion program on access to finance as well as first-time borrowers’ transition from microfinance institutions to the formal banking sector using microdata on the universe of loans to individuals from a developing country. We show that the program increased the likelihood of obtaining credit, particularly in areas with lower financial and economic development. The overall effect is driven by the newly set-up microfinance institutions (U-SACCOs), which grant loans to unbanked individuals and allow them to build credit history. Loan size increases and loan terms improve as the bank-borrower relationship matures, but these effects are weaker for U-SACCOs than for banks. Consistent with this evidence, a significant share of first-time borrowers switch to commercial banks, which cream-skim less risky borrowers from U-SACCOs after the program implementation and grant them cheaper, larger, and longer-term loans. These borrowers are not riskier and only initially receive smaller loans than similar individuals already in the formal banking sector. These results suggest that the microfinance sector, together with a credit reference bureau, plays an essential role in mitigating information frictions in credit markets.",,,,,Business; Systemic risk; Market liquidity; Liquidity risk; Loan; Access to finance; Microfinance; Financial intermediary; Credit history; Financial system,,,,,https://openaccess.city.ac.uk/id/eprint/20150/ https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.753672,https://openaccess.city.ac.uk/id/eprint/20150/,,,2895144076,,0,,0,False,,,lens
086-293-360-933-19X,Coordination and Cooperation are Essential: A Call for a Global Network to Enhance Integrated Human Health Risk Resilience Based on China’s COVID-19 Pandemic Coping Practice,2021-07-27,2021.0,journal article,International Journal of Disaster Risk Science,20950055; 21926395,Springer Science and Business Media LLC,United States,Yelin Sun,"More than a year after its appearance and still rampant around the world, the COVID-19 pandemic has highlighted tragically how poorly the world is prepared to handle systemic risks in an increasingly hyper-connected global social-ecological system. The absence or clear inadequacy of global governance arrangements and mechanisms is painfully distinct and obvious. In this short article, we summarize a set of COVID-19 pandemic-related analyses and lessons that are inspired by Chinese practice. First, strong government response is one of the most important methods to control a pandemic. Second, countries should be concerned about human-to-frozen goods-to-human transmission. Third, sharing resources and experiences through cooperation is crucial to ensure an adequate health response. Based on these insights, we stress the critical importance of coordination and cooperation, and call for a global network to enhance integrated human health risk resilience.",12,4,593,599,Global network; Psychological resilience; Business; Systemic risk; Government; Global governance; Public relations; Sustainable development; Coping (psychology); Pandemic,,,,,https://search.bvsalud.org/global-literature-on-novel-coronavirus-2019-ncov/resource/es/covidwho-1330428 https://pesquisa.bvsalud.org/global-literature-on-novel-coronavirus-2019-ncov/resource/en/covidwho-1330428 https://link.springer.com/content/pdf/10.1007/s13753-021-00364-4.pdf https://link.springer.com/article/10.1007/s13753-021-00364-4 https://doi.org/10.1007/S13753-021-00364-4,http://dx.doi.org/10.1007/s13753-021-00364-4,,10.1007/s13753-021-00364-4,3186279318,,0,003-876-492-051-491; 007-240-160-983-139; 008-373-930-660-789; 020-016-144-834-621; 025-799-703-968-227; 026-239-905-096-827; 029-501-818-162-486; 029-574-658-946-069; 030-371-783-582-036; 033-851-234-252-650; 039-429-622-352-340; 042-615-491-877-063; 053-627-229-994-261; 054-550-368-950-377; 060-450-963-666-070; 062-978-123-913-153; 066-323-574-774-875; 072-087-016-035-221; 089-079-998-582-984; 112-178-522-896-561; 145-111-919-618-974; 149-624-955-300-209; 149-786-622-548-160; 153-901-716-672-424; 169-471-015-970-780; 177-396-317-897-614,2,True,cc-by,gold,lens
050-462-104-497-462,Construction of Risk Warning Model in Financial Market Based on Artificial Intelligence Technology,2022-04-01,2022.0,book chapter,Forthcoming Networks and Sustainability in the IoT Era,23674512; 23674520,Springer International Publishing,,Han Yu,"AbstractIn the present stage of development, only the effective prevention and treatment of major financial systemic risks can effectively promote the healthy development of the financial industry. In the analysis of this paper, the construction of its risk early warning model is mainly based on the current financial market and based on artificial intelligence technology, so as to solve the potential risk problems and promote the healthy development of the financial industry.KeywordsArtificial intelligenceFinancial marketsRisk early warning modelCredit efficiency",,,351,355,Warning system; Financial risk; Business; Financial market; Risk analysis (engineering); Finance; Systemic risk; Early warning system; Actuarial science; Engineering; Financial crisis; Economics; Macroeconomics; Aerospace engineering,,,,,,http://dx.doi.org/10.1007/978-3-030-99581-2_51,,10.1007/978-3-030-99581-2_51,,,0,,1,False,,,lens
009-217-431-602-463,ManSim: A Cross-Border HFT Financial Markets Simulator,2013-05-04,2013.0,,Social Science Research Network,,,,Babis Theodoulidis; David Diaz,"Significant technological advancements have been made in trading platforms and trading infrastructures such as dark trading venues, broker-dealer crossing networks, high-frequency trading systems, etc. However, the impact of these on market participants is still poorly understood. Previous literature has identified the urgent need to develop national strategic modelling and predictive simulation capabilities for the global financial markets in order to improve our understanding of systemic risk and thus, better deal with the potential for future financial disasters. It has also been argued that the development of such systems would require a multidisciplinary effort into agent theory, ecology, epidemiology and complex systems simulation models in order to develop tools that can be used to inform governmental policy. This report introduces the Manchester Simulator (ManSim) which can be used to analyse a wide variety of observable processes encapsulated in a financial market by accommodating the role of a central tape, global order book, networking configurations, cross-border markets, cross-market transactions, high frequency trading and trading strategies.",,,,,Trading strategy; Business; Systemic risk; Alternative trading system; Order (exchange); Financial market; High-frequency trading; Simulation; Market microstructure; Algorithmic trading,,,,,https://ssrn.com/abstract=2260832 https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2260832,https://ssrn.com/abstract=2260832,,,1563349734,,0,,0,False,,,lens
076-660-555-913-147,"Love for Correlation, Bank Systemic Risk-Taking and Loan Pricing in Syndicated Loans",,2014.0,journal article,SSRN Electronic Journal,15565068,Elsevier BV,,Di Gong,,,,,,,,,,,,http://dx.doi.org/10.2139/ssrn.2481940,,10.2139/ssrn.2481940,,,0,,0,False,,,lens
059-016-347-845-326,Systemic Risk in a Structural Model of Bank Default Linkages,,2017.0,journal article,SSRN Electronic Journal,15565068,Elsevier BV,,Yvonne Kreis; Dietmar Leisen,,,,,,Financial economics; Factor analysis; Systemic risk; Econometrics; Economics; Banking sector; Financial risk management; Risk factor (computing); Default,,,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2699242 https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID2699242_code44146.pdf?abstractid=2699242&mirid=1,http://dx.doi.org/10.2139/ssrn.2699242,,10.2139/ssrn.2699242,2256842019,,0,001-274-723-652-948; 001-795-640-653-56X; 002-384-345-237-15X; 002-856-834-652-090; 003-583-195-769-430; 003-803-424-332-155; 007-460-523-150-502; 008-620-705-366-714; 009-250-956-758-799; 010-043-678-148-58X; 011-015-418-674-565; 024-828-296-919-906; 025-599-126-786-346; 027-177-973-497-927; 027-593-869-573-689; 030-306-352-344-019; 031-991-690-222-190; 037-208-742-160-528; 039-267-021-244-775; 042-076-818-178-943; 043-040-723-399-374; 048-363-026-036-293; 056-084-592-994-224; 057-774-599-082-767; 058-879-947-933-394; 067-117-620-752-415; 068-416-904-632-702; 068-926-087-240-142; 074-637-420-002-073; 083-508-652-775-775; 087-268-175-430-322; 095-071-909-719-768; 096-423-291-731-011; 118-018-474-448-443; 122-779-428-131-390; 124-492-614-685-623; 131-107-532-528-78X; 136-106-944-186-234; 153-840-799-460-294; 162-732-720-330-488; 170-312-921-431-516; 196-841-517-297-105,1,False,,,lens
