authors,title,abstract,year,pub_date,n_cited,source,kws,auth_affils,link,links,bib_src,scopus_id
"Amini, H.; Cont, R.; Minca, A.",Resilience to contagion in financial networks,"We derive rigorous asymptotic for the magnitude of contagion in a large counterparty network and give an analytical expression for the asymptotic fraction of defaults, in terms of network characteristics. Our extend previous studies on contagion in random graphs to inhomogeneous-directed graphs with a given degree sequence and arbitrary distribution of weights. We introduce a criterion for the resilience of a large financial network to the insolvency of a small group of financial institutions and quantify how contagion amplifies small shocks to the network. Our emphasize the role played by ""contagious links"" and show that institutions which contribute most to network instability have both large connectivity and a large fraction of contagious links. The asymptotic show good agreement with simulations for networks with realistic sizes. 2016 Wiley Periodicals, Inc.",2016,2016-01-01,141,Mathematical Finance,default contagion; financial stability; interbank network; macroprudential regulation; random graphs; systemic risk,"Amini, H. (Swiss Finance Institute, École Polytechnique Fédérale de Lausanne, Switzerland); Cont, R. (CNRS, Laboratoire de Probabilités et Modeles Aléatoires, Université Paris VI, France); Minca, A. (School of Operations Research and Information Engineering, Cornell University, United States)",https://dx.doi.org/10.1111/mafi.12051,https://dx.doi.org/10.1111/mafi.12051,scopus,2-s2.0-84960101214
"Li, L.-J.; Ikram, M.K.; Wong, T.Y.",Retinal vascular imaging in early life: insights into processes and risk of cardiovascular disease,"Cardiovascular disease (CVD) is the leading cause of morbidity and mortality globally. In recent years, studies have shown that the origins of CVD may be traced to vascular and metabolic processes in early life. Retinal vascular imaging is a new technology that allows detailed non-invasive in vivo assessment and monitoring of the microvasculature. In this systematic review, we described the application of retinal vascular imaging in children and adolescents, and we examined the use of retinal vascular imaging in understanding CVD risk in early life. We reviewed all publications with quantitative retinal vascular assessment in two databases: PubMed and Scopus. Early life CVD risk factors were classified into four groups: birth risk factors, environmental risk factors, systemic risk factors and conditions linked to future CVD development. Retinal vascular changes were associated with lower birth weight, shorter gestational age, low-fibre and high-sugar diet, lesser physical activity, parental hypertension history, childhood hypertension, childhood overweight obesity, childhood depression anxiety and childhood typediabetes mellitus. In summary, there is increasing evidence supporting the view that structural changes in the retinal microvasculature are associated with CVD risk factors in early life. Thus, the retina is a useful site for pre-clinical assessment of microvascular processes that may underlie the future development of CVD in adulthood. 2016 The Physiological Society.",2016,2016-01-01,37,Journal of Physiology,"adaptive optics imaging; adolescent; analyzer; anxiety disorder; birth weight; cardiovascular disease; cardiovascular diseases; cardiovascular risk; child; childhood obesity; complication; depression; diagnostic imaging; dynamic vessel analyzer; environmental factor; eye photography; female; fluorescence imaging; gestational age; growth, development and aging; human; humans; hypertension; imaging; infant, newborn; insulin dependent diabetes mellitus; low birth weight; male; medical history; meta analysis; metabolic diseases; newborn; nonhuman; optical coherence tomography; pathogenesis; physical activity; priority journal; retina blood vessel; retinal diseases; retinal vascular imaging; retinal vessels; review; risk factor; sugar intake","Li, L.-J. (Singapore Eye Research Institute, Singapore National Eye Centre, Singapore, Duke-NUS Graduate Medical School, National University of Singapore, Singapore); Ikram, M.K. (Singapore Eye Research Institute, Singapore National Eye Centre, Singapore, Duke-NUS Graduate Medical School, National University of Singapore, Singapore); Wong, T.Y. (Singapore Eye Research Institute, Singapore National Eye Centre, Singapore, Duke-NUS Graduate Medical School, National University of Singapore, Singapore)",https://dx.doi.org/10.1113/JP270947,https://dx.doi.org/10.1113/JP270947,scopus,2-s2.0-84947982789
"Hoffmann, H.; Meyer-Brandis, T.; Svindland, G.",Risk-consistent conditional systemic risk measures,"We axiomatically introduce risk-consistent conditional systemic risk measures defined on multidimensional risks. This class consists of those conditional systemic risk measures which can be decomposed into a state-wise conditional aggregation and a univariate conditional risk measure. Our studies extend known for unconditional risk measures on finite state spaces. We argue in favor of a conditional framework on general probability spaces for assessing systemic risk. Mathematically, the problem reduces to selecting a realization of a random field with suitable properties. Moreover, our approach covers many prominent examples of systemic risk measures from the literature and used in practice. 2016 Elsevier B.V. All rights reserved.",2016,2016-01-01,22,Stochastic Processes and their Applications,conditional aggregation; conditional expected short fall; conditional systemic risk measure; conditional value at risk; conditional value-at-risk; finite state spaces; health hazards; probability spaces; random fields; risk assessment; risk measures; risk-consistent properties; risks; systemic risks; univariate; value engineering,"Hoffmann, H. (Department of Mathematics, University of Munich, Theresienstraße 39, Munich, 80333, Germany); Meyer-Brandis, T. (Department of Mathematics, University of Munich, Theresienstraße 39, Munich, 80333, Germany); Svindland, G. (Department of Mathematics, University of Munich, Theresienstraße 39, Munich, 80333, Germany)",https://dx.doi.org/10.1016/j.spa.2016.01.002,https://dx.doi.org/10.1016/j.spa.2016.01.002,scopus,2-s2.0-84956610197
"Kotek, L.; Nosek, A.; Fiala, A.; Bartos, V.",Risks in industrial management systems,"This paper focuses on the evaluation of the approach to risk management in management systems in technical industries. The underlying framework is the updated standard ISO 9001 which is compared to the requirements of specific standards for the automotive industry, the aviation industry, the railway industry and the chemical and processing industries that fall under major accident prevention (SEVESO). This article aims to compare the requirements of these management systems for individual areas from the perspective of systemic risk prevention. 2016, MM publishing Ltd. All rights reserved.",2016,2016-01-01,3,Mm Science Journal,management systems; risk management; system comparison,"Kotek, L. (Brno University of Technology, Faculty of Mechanical Engineering, Institute of Production Machines, Systems and Robotics, Technicka 2896/2, Brno, 616 69, Czech Republic); Nosek, A. (Brno University of Technology, Rector’s Office Quality department, Antoninska 548/1, Brno, 601 90, Czech Republic); Fiala, A. (Brno University of Technology, Faculty of Mechanical Engineering, Department of Quality, Reliability and Safety, Technicka 2896/2, Brno, 616 69, Czech Republic); Bartos, V. (Brno University of Technology, Faculty of Business and Management, Institute of Finances, Kolejni 2906/4, Brno, 612 00, Czech Republic)",https://dx.doi.org/10.17973/MMSJ.2016_12_2016195,https://dx.doi.org/10.17973/MMSJ.2016_12_2016195,scopus,2-s2.0-85006256488
"Hassani, B.K.",Scenario analysis in risk management: theory and practice in finance,"This book focuses on identifying and explaining the key determinants of scenario analysis in the context of operational risk, stress testing and systemic risk, as well as management and planning. Each chapter presents alternative solutions to perform reliable scenario analysis. The author also provides technical notes and describes applications and key characteristics for each of the solutions. In addition, the book includes a section to help practitioners interpret the and adjust them to real-life management activities. Methodologies, including those derived from consensus strategies, extreme value theory, Bayesian networks, Neural networks, Fault Trees, frequentist statistics and data mining are introduced in such a way as to make them understandable to readers without a quantitativeParticular emphasis is given to the added value of the implementation of these methodologies. Springer International Publishing Switzerland 2016.",2016,2016-01-01,17,Scenario Analysis in Risk Management: Theory and Practice in Finance,,"Hassani, B.K. (Global Head of Research and Innovation - Risk Methodology, Grupo Santander, Madrid, Spain, Université Paris 1 Panthéon Sorbonne, Labex ReFi, Paris, France)",https://dx.doi.org/10.1007/978-3-319-25056-4,https://dx.doi.org/10.1007/978-3-319-25056-4,scopus,2-s2.0-85018895235
"Li, J.; Li, N.; Luo, L.; Ren, Y.",Segmentation of chinese parents based on food risk perception dimensions for risk communication in rural area of sichuan province,"Purpose: The purpose of this paper is to investigate risk dimensions affecting food risk perceptions and to develop effective risk communication strategies based on their risk perceptions dimensions. The reason for writing this paper is that applying single risk communication strategy for public often fails because food risks are systemic risks and public perceptions toward them consist of multiple dimensions. Launching an effective risk communication need to investigate the perception dimensions of the target audience. Design methodology approach: A total of 2,673 parents of 3-14-year-old children from the rural area of Sichuan province in China were chosen as target audience. Based on the survey conducted about parents’ food risk perceptions, this study used factor-cluster analysis method to segment parents to sub-clusters with significantly different risk perception dimensions. Parents’ representative demographic characteristics within each cluster were further identified through cross-tabs analysis with χ2 tests. Findings: All the parents could be segmented into four sub-clusters, namely, sensitive parents, dependent parents, familiarity-oriented parents and institutional distrust parents, according to their risk perception difference on five dimensions. A series of risk communication strategies were specifically designed for each cluster based on their risk perception features as well as demographic characteristics. Originality value: The insight derived from this study described a deeper image of public risk perceptions and provided suggestions for risk communication launchers to pinpoint the risk perception as well as perception dimensions of the target audience and accordingly develop effective risk communication strategies. 2016, Emerald Group Publishing Limited.",2016,2016-01-01,2,British Food Journal,adolescent; chi square test; child; china; cluster analysis; food risk perception; human; human experiment; parents; perception; population model; risk communication; risk perception dimensions; rural area; writing,"Li, J. (School of Agricultural Economics and Rural Development, Renmin University of China, Beijing, China); Li, N. (School of Agricultural Economics and Rural Development, Renmin University of China, Beijing, China); Luo, L. (School of Agricultural Economics and Rural Development, Renmin University of China, Beijing, China); Ren, Y. (School of Agricultural Economics and Rural Development, Renmin University of China, Beijing, China)",https://dx.doi.org/10.1108/BFJ-01-2016-0039,https://dx.doi.org/10.1108/BFJ-01-2016-0039,scopus,2-s2.0-84987776717
"Wei, S.","Shadow banking in china: risk, regulation and policy","This timely book investigates the dynamic causes, key forms, potential risks and changing regulation of shadow banking in China. Topics discussed include P2P lending, wealth management products, local government debts, and the underground lending market. Taking policy considerations into account, the author provides a comprehensive analysis of the regulatory instruments tackling the systemic risks in relation to China's shadow banking sector. Central bank's role, interest rate formation mechanism, exchange rate reform and further deepening reform of the regulatory regime and financial markets are also thoroughly discussed in the context of China's continuing financial reform. Shen Wei 2016. All rights reserved.",2016,2016-01-01,12,"Shadow Banking in China: Risk, Regulation and Policy",,"Wei, S. (Shandong University Law School, China)",https://dx.doi.org/10.4337/9781784716776,https://dx.doi.org/10.4337/9781784716776,scopus,2-s2.0-85017970465
"Prasch, R.; Warin, T.",Systemic risk and financial regulations: A theoretical perspective,"This article inserts the notion of systemic risk into the theoretical foundations of modern finance. By systemic risk, we mean risks because of interdependence among leading firms, in other words complexity. It builds upon the traditional mean-variance approach while reconsidering an inadequately contemplated source of risk: the actual organization of the financial market. As such, we take seriously the idea that some oligopolistic firms may be understood by market participants to be central to the fabric of modern financial markets, and in that sense can be deemed too big to fail. While we believe that much of traditional financial analysis is valid in its own terms, we also believe that important insights can be acquired from melding Modern Portfolio Theory with recent developments in Industrial Organization. 2016 Macmillan Publishers Ltd.",2016,2016-01-01,1,Journal of Banking Regulation,complexity; financial regulations; modern portfolio theory; specific risk; systematic risk; systemic risk,"Prasch, R. (Department of Economics, Middlebury College, United States); Warin, T. (Department of International Business, HEC Montreál, 3000 chemin de la Côte-Sainte-Catherine, Montreál, QC  H3T2A7, Canada)",https://dx.doi.org/10.1057/jbr.2015.4,https://dx.doi.org/10.1057/jbr.2015.4,scopus,2-s2.0-84977568534
"Burkholz, R.; Leduc, M.V.; Garas, A.; Schweitzer, F.",Systemic risk in multiplex networks with asymmetric coupling and threshold feedback,"We study cascades on a two-layer multiplex network, with asymmetric feedback that depends on the coupling strength between the layers. Based on an analytical branching process approximation, we calculate the systemic risk measured by the final fraction of failed nodes on a reference layer. The are compared with the case of a single layer network that is an aggregated representation of the two layers. We find that systemic risk in the two-layer network is smaller than in the aggregated one only if the coupling strength between the two layers is small. Above a critical coupling strength, systemic risk is increased because of the mutual amplification of cascades in the two layers. We even observe sharp phase transitions in the cascade size that are less pronounced on the aggregated layer. Our insights can be applied to a scenario where firms decide whether they want to split their business into a less risky core business and a more risky subsidiary business. In most cases, this may lead to a drastic increase of systemic risk, which is underestimated in an aggregated approach. 2015 Elsevier B.V.",2016,2016-01-01,30,Physica D: Nonlinear Phenomena,asymmetric coupling; branching process; cascades; cascades (fluid mechanics); coupling strengths; critical coupling; multiplex networks; mutual amplification; network layers; risk assessment; systemic risk; systemic risks; two-layer network,"Burkholz, R. (Department of Systems Design, ETH Zurich, Weinbergstrasse 58, Zurich, 8092, Switzerland); Leduc, M.V. (Department of Systems Design, ETH Zurich, Weinbergstrasse 58, Zurich, 8092, Switzerland); Garas, A. (Department of Systems Design, ETH Zurich, Weinbergstrasse 58, Zurich, 8092, Switzerland); Schweitzer, F. (Department of Systems Design, ETH Zurich, Weinbergstrasse 58, Zurich, 8092, Switzerland)",https://dx.doi.org/10.1016/j.physd.2015.10.004,https://dx.doi.org/10.1016/j.physd.2015.10.004,scopus,2-s2.0-84951310737
"Eling, M.; Pankoke, D.A.",Systemic risk in the insurance sector: A review and directions for future research,"This article reviews the extant research on systemic risk in the insurance sector and outlines new areas of research in this field. We summarize and classify 48 theoretical and empirical research papers from both academia and practitioner organizations. The survey reveals that traditional insurance activity in the life, nonlife, and reinsurance sectors neither contributes to systemic risk nor increases insurers’ vulnerability to impairments of the financial system. However, nontraditional activities (e.g., credit default swap underwriting) might increase vulnerability, and life insurers might be more vulnerable than nonlife insurers due to higher leverage. Whether nontraditional activities also contribute to systemic risk is not entirely clear however, the activities with the potential to contribute to systemic risk include underwriting financial derivatives and providing financial guarantees. This article is not only likely of interest to academics but also highly relevant for the industry, regulators, and policymakers. Risk Management and Insurance Review, 2016",2016,2016-01-01,16,Risk Management and Insurance Review,,"Eling, M. (Institute of Insurance Economics, University of St. Gallen, Rosenbergstr. 22, St. Gallen, 9000, Switzerland); Pankoke, D.A. (Institute of Insurance Economics, University of St. Gallen, Rosenbergstr. 22, St. Gallen, 9000, Switzerland)",https://dx.doi.org/10.1111/rmir.12062,https://dx.doi.org/10.1111/rmir.12062,scopus,2-s2.0-84988484860
"Billio, M.; Pelizzon, L.; Savona, R.","Systemic risk tomography: signals, measurement and transmission channels","In April 2010 Europe was shocked by the Greek financial turmoil. At that time, the global financial crisis, which started in the summer of 2007 and reached systemic dimensions in September 2008 with the Lehman Brothers crash, took a new course. An adverse feedback loop between sovereign and bank risks reflected into bubble-like spreads, as if financial markets had received a wake-up call concerning the disregarded structural vulnerability of economies at risk. These events inspired the SYRTO project to think and rethink the economic and financial system and to conceive it as an ensemble of Sovereigns and Banks with other Financial Intermediaries and Corporations. Systemic Risk Tomography: Signals, Measurement and Transmission Channels proposes a novel way to explore the financial system by sectioning each part of it and analyzing all relevant inter-relationships. The financial system is inspected as a biological entity to identify the main risk signals and to provide the correct measures of prevention and intervention. 2017 ISTE Press Ltd Published by Elsevier Ltd All rights reserved.",2016,2016-01-01,0,"Systemic Risk Tomography: Signals, Measurement and Transmission Channels",,"Billio, M. (Ca’ Foscari University of Venice, Italy); Pelizzon, L. (Ca’ Foscari University of Venice, Italy); Savona, R. (University of Brescia, Italy)",https://dx.doi.org/10.1016/B978-1-78548-085-0.50010-8,https://dx.doi.org/10.1016/B978-1-78548-085-0.50010-8,scopus,2-s2.0-85124924564
"Dellaportas, P.; Plataniotis, A.; Titsias, M.K.",Systemic risk via dynamic correlations,"Modeling stochastic volatility matrices is a very important ingredient in econometric analysis of systemic risk. For example, two widely acceptable measures of systemic risk, marginal expected shortfall and systemic risk measure, require a model that captures the dynamics of volatilities and correlations across time. De Nicolo and Kwast argue that firm interdependencies measured by correlations of stock returns provide an indicator of systemic risk potential. Although observation-driven models based on generalized autoregressive conditional heteroscedasticity (GARCH) formulations have been extensively used, in the area of parametric driven models, and in particular multivariate stochastic volatility (MSV) models, complicated inference has been the major impediment in promoting their widespread use in financial applications. 2017 ISTE Press Ltd Published by Elsevier Ltd All rights reserved.",2016,2016-01-01,0,"Systemic Risk Tomography: Signals, Measurement and Transmission Channels",additive factor models; bayes factors; ccc model; cholesky stochastic volatility models; dynamic conditional correlation model; ftse 100 data; heavy-tailed models; nested laplace approximations; wishart processes,"Dellaportas, P. (University College London, United Kingdom); Plataniotis, A. (Athens University of Economics and Business, Greece); Titsias, M.K. (Athens University of Economics and Business, Greece)",https://dx.doi.org/10.1016/B978-1-78548-085-0.50001-7,https://dx.doi.org/10.1016/B978-1-78548-085-0.50001-7,scopus,2-s2.0-85124934724
"Andrieş, A.M.; Nistor, S.","Systemic risk, corporate governance and regulation of banks across emerging countries","This paper investigates the impact of governance and regulation on systemic risk banks from 10 CEE countries. Our show that tight internal risk management mechanisms and shareholder-friendly supervisory boards are associated with higher contribution of banks to systemic risk. Additionally, external governance significantly affects the impact of corporate governance on systemic risk. 2016 Elsevier B.V.",2016,2016-01-01,20,Economics Letters,corporate governance; regulatory framework; risk management; systemic risk,"Andrieş, A.M. (Alexandru Ioan Cuza University of Iasi, Romania, University of New South Wales, Australia); Nistor, S. (Babeş-Bolyai University of Cluj-Napoca, Romania)",https://dx.doi.org/10.1016/j.econlet.2016.04.031,https://dx.doi.org/10.1016/j.econlet.2016.04.031,scopus,2-s2.0-84966297466
"Andrecut, M.","Systemic risk, maximum entropy and interbank contagion","We discuss the systemic risk implied by the interbank exposures reconstructed with the maximum entropy (ME) method. The ME method severely underestimates the risk of interbank contagion by assuming a fully connected network, while in reality the structure of the interbank network is sparsely connected. Here, we formulate an algorithm for sparse network reconstruction, and we show numerically that it provides a more reliable estimation of the systemic risk. 2016 World Scientific Publishing Company.",2016,2016-01-01,3,International Journal of Modern Physics C,interbank contagion; maximum entropy; systemic risk,"Andrecut, M. (Calgary, AB  T3G 5Y8, Canada)",https://dx.doi.org/10.1142/S0129183116501485,https://dx.doi.org/10.1142/S0129183116501485,scopus,2-s2.0-84976260943
"Hollmann, J.K.",Systemic risks and parametric modeling,"Predictability in cost and schedule outcomes is a key financial for capital project systems.The primary measure of predictability is accuracy it measures how estimates differ from the finalactual outcomes. Unfortunately, accuracy in funding estimates in the construction arena has been elusive.Despite over 50 years of research, most companies are unable to quantify risks realistically. Thecause is simple, traditional risk quantification methods have no empirical basis. This chapter is aboutempirically-based parametric modeling of ""systemic"" risks. Systemic risks are attributes of a projectsystem and they are the dominant driver of project uncertainty. There are a number of reliable methodsto quantify project-specific risk ""events"" and conditions and escalation and exchange risks. While thoseare the topics of other chapters, this chapter describes how to integrate the parametric method withthose. Working together, those risk quantification methods can realistically predict the ""usual"" projectcost growth and schedule slip. 2017, IGI Global.",2016,2016-01-01,0,Handbook of Research on Leveraging Risk and Uncertainties for Effective Project Management,,"Hollmann, J.K. (Validation Estimating, LLC, United States)",https://dx.doi.org/10.4018/978-1-5225-1790-0.ch003,https://dx.doi.org/10.4018/978-1-5225-1790-0.ch003,scopus,2-s2.0-85016351108
"Pitilakis, K.; Argyroudis, S.; Kakderi, K.; Selva, J.",Systemic vulnerability and risk assessment of transportation systems under natural hazards towards more resilient and robust infrastructures,"Transportation infrastructures are complex systems of various connected components like bridges, roads, tunnels, embankments, retaining walls in case of a highway system or wharfs, cranes, buildings, utility systems in case of port facilities. Due to their spatial extent, they are exposed to variable natural hazards such as earthquakes, tsunami or landslides. Experience from past disastrous events shows that transportation infrastructures are quite vulnerable due to the lack of redundancy, the lengthy repair time, the rerouting difficulties or the cascading failures and interdependencies. Their damage could be greatly disruptive in terms of safety of life, business disruption, access to emergency services and key lifelines utilities, rescue operations and socio-economic impacts. Therefore, in terms of resilience it is important to recognize and quantify the risks and global losses associated to damages of transportation systems and to establish efficient risk mitigation strategies. These include, among others, enhancement of emergency preparedness, strengthening of existing structures and improvement of the recovery planning. Herein an integrated framework for the probabilistic systemic vulnerability and risk assessment of transportation and utility networks is presented, based on the achievements of the recently completed EC project SYNER-G (www.syner-g.eu) and the ongoing EC project STREST (www.strest-eu.org). The infrastructure is modeled according to a detailed taxonomy. The framework encompasses in an integrated fashion all aspects in the chain, from regional hazard to fragility assessment of components to the socio-economic impacts of a natural disaster, accounting for relevant uncertainties within an efficient quantitative simulation scheme, and modeling interactions between multiple component systems in the taxonomy. Selected Performance Indicators (PIs) are calculated for each network based on the estimated damages and functionality losses of the different components under the given hazards. The methodology and tools are demonstrated through case studies in the road network and the harbor of Thessaloniki city, Greece, under seismic hazard and associated geotechnical hazards (i.e. soil liquefaction). The applications include assessments of systems' performance considering the spatial seismic hazard with correlation of ground motion intensities, the vulnerability of the network components, and the effect of interactions within the system, as well as, between components of different systems. In particular, road disruptions can be caused due to direct damage of road segments and bridges, as well as building and overpass collapses. Harbor operations can be disturbed due to failures of waterfront structures and cargo handling equipment, as well as disruptions to the electric power supply and building collapses. The systemic risk for the road network and harbor is calculated, specifically focusing on the short-term impact of seismic events (just after the earthquake) and the risk curves (i.e. mean annual rates of exceedance for loss in performance of the infrastructures) are provided. The significant elements for the functionality of each system are defined through correlation factors to the system PIs. Such can contribute to the decision-making regarding the enhancement of existing and the robust development of new infrastructures in the frame of safety and resiliency. 2016 The Authors. Published by Elsevier B.V.",2016,2016-01-01,32,Transportation Research Procedia,harbor; interdependencies; risk assessment; roadway; transportation infrastructures,"Pitilakis, K. (Aristotle University, Thessaloniki, Greece); Argyroudis, S. (Aristotle University, Thessaloniki, Greece); Kakderi, K. (Aristotle University, Thessaloniki, Greece); Selva, J. (Istituto Nazionale di Geofisica e Vulcanologia, Bologna, Italy)",https://dx.doi.org/10.1016/j.trpro.2016.05.206,https://dx.doi.org/10.1016/j.trpro.2016.05.206,scopus,2-s2.0-84991216759
"Labonte, M.",Systemically important or too big to fail financial institutions,"Although too big to fail (TBTF) has been a longstanding policy issue, it was highlighted by the near-collapse of several large financial firms in 2008. Financial firms are said to be TBTF when policy makers judge that their failure would cause unacceptable disruptions to the overall financial system, and they can be TBTF because of their size or interconnectedness. In addition to fairness issues, economic theory suggests that expectations that a firm will not be allowed to fail create moral hazard-if the creditors and counterparties of a TBTF firm believe that the government will protect them from losses, they have less incentive to monitor the firm's riskiness because they are shielded from the negative consequences of those risks. If so, they could have a funding advantage compared with other banks, which some call an implicit subsidy. There are a number of policy approaches-some complementary, some conflicting-to coping with the TBTF problem, including providing government assistance to prevent TBTF firms from failing or systemic risk from spreading enforcing market discipline to ensure that investors, creditors, and counterparties curb excessive risk-taking at TBTF firms enhancing regulation to hold TBTF firms to stricter prudential standards than other financial firms curbing firms' size and scope, by preventing mergers or compelling firms to divest assets, for example minimizing spillover effects by limiting counterparty exposure and instituting a special resolution regime for failing systemically important firms. A comprehensive policy is likely to incorporate more than one approach, as some approaches are aimed at preventing failures and some at containing fallout when a failure occurs. Parts of the Wall Street Reform and Consumer Protection Act (Dodd-Frank Act P.L. 111-203) address all of these policy approaches. For example, it created an enhanced prudential regulatory regime administered by the Federal Reserve for non-bank financial firms designated as systemically important by the Financial Stability Oversight Council (FSOC) and banks with more than $50 billion in assets. About 30 U.S. bank holding companies and a larger number of foreign banks have more than $50 billion in assets, and the FSOC has designated three insurers (AIG, MetLife, and Prudential Financial) and GE Capital as systemically important. A handful of the largest banks face additional capital, leverage, and liquidity requirements. The Dodd-Frank Act also created a special resolution regime administered by the Federal Deposit Insurance Corporation (FDIC) to take into receivership failing firms that pose a threat to financial stability. This regime has not been used to date, and has some similarities to how the FDIC resolves failing banks. Statutory authority used to prevent financial firms from failing during the crisis has either expired or been narrowed by the Dodd-Frank Act. The fact that most large firms have grown in dollar terms since the enactment of the Dodd-Frank Act has led some critics to question whether the TBTF problem has been solved. In the 114th Congress, S. 1484 would increase the $50 billion asset threshold to $500 billion for enhanced regulation under Titleof the Dodd-Frank Act. Banks with assets between $50 billion and $500 billion would be subject to a designation process by FSOC. Compared with the current non-bank designation process, S. 1484 would require FSOC to provide more information to (bank or non-bank) institutions and give them more opportunities to take actions to avoid or reverse systemically important financial institution (SIFI) designation. It would also increase public disclosure requirements surrounding the designation process. S.Con.Res. 11, the FY2016 budget resolution, creates a nonbinding deficit-neutral budget reserve fund that allows for future legislation relating to any bank holding companies with over $500 billion in total assets to better protect taxpayers2016 Nova Science Publishers, Inc.",2016,2016-01-01,1,Emergency Lending by the Federal Reserve: Background and Policy Issues,,"Labonte, M. ()",https://dx.doi.org/,https://dx.doi.org/,scopus,2-s2.0-85024928593
"Lo, A.W.; Stein, R.M.",TRC networks and systemic risk,No abstract available,2016,2016-01-01,5,Journal of Alternative Investments,,"Lo, A.W. (Cambridge, MA, United States); Stein, R.M. (Cambridge, MA, United States)",https://dx.doi.org/10.3905/jai.2016.18.4.052,https://dx.doi.org/10.3905/jai.2016.18.4.052,scopus,2-s2.0-85042691990
"Wu, Y.; Zhou, L.-M.; Lou, H.; Cheng, J.-W.; Wei, R.-L.",The association between obstructive sleep apnea and nonarteritic anterior ischemic optic neuropathy: A systematic review and meta-analysis,"Purpose: Nonarteritic anterior ischemic optic neuropathy (NAION) is a multifactorial disease, and recently epidemiologic studies have investigated the association between obstructive sleep apnea (OSA) and NAION. A systematic review of the association of OSA and NAION has not been performed. Therefore, the current meta-analysis was performed to assess such potential association between OSA and risk of NAION. Methods: A systematic search of PubMed and EMBASE databases was performed for published studies evaluating the association between OSA and NAION. The summary odds ratios (ORs) and 95% confidence intervals (CIs) were calculated for categorical risk estimates. Sensitivity analyses and subgroup analyses were also performed to assess the robustness of pooled outcomes.A total of four prospective cohort studies and one case control study met our inclusion criteria. The pooled OR of developing NAION in the subjects with OSA was 6.18 (95% CI, 2.00 19.11) versus non-OSA controls. Sensitivity analyses showed that no matter one study excluded, the pooled OR did not change significantly, which indicated that the evidence was robust. In subgroup analyses, a significant association was seen in studies matched systemic risk factors (OR, 5.00 95% CI, 2.22 11.25), but not in those non-matched. The magnitude and direction of effects were also affected by methodological variability, including study design, and diagnosis of OSA.The findings from this meta-analysis supported the robust evidence that OSA was a strong independent risk factor of NAION. Relative to non-OSA controls, the subjects with OSA were found to have a more than sixfold risk of NAION. In future, more well-designed studies are needed to confirm these findings. 2016 Taylor Francis.",2016,2016-01-01,46,Current Eye Research,"anterior ischemic optic neuropathy; apnea hypopnea index; article; complication; disease association; human; humans; meta analysis; meta-analysis; nonarteritic anterior ischemic optic neuropathy; obstructive sleep apnea; optic neuropathy, ischemic; polysomnography; priority journal; respiratory disturbance index; risk assessment; risk factor; risk factors; sleep apnea, obstructive; sleep disorder; sleep disordered breathing; systematic review","Wu, Y. (Department of Ophthalmology, Shanghai Changzheng Hospital, Second Military Medical University, Shanghai, China, Department of Ophthalmology, Jinling Hospital, Nanjing, Jiangsu, China); Zhou, L.-M. (Department of Nursing, The 100th Hospital of PLA, Suzhou, Jiangsu, China); Lou, H. (Department of Ophthalmology, Shanghai Changzheng Hospital, Second Military Medical University, Shanghai, China); Cheng, J.-W. (Department of Ophthalmology, Shanghai Changzheng Hospital, Second Military Medical University, Shanghai, China); Wei, R.-L. (Department of Ophthalmology, Shanghai Changzheng Hospital, Second Military Medical University, Shanghai, China)",https://dx.doi.org/10.3109/02713683.2015.1075221,https://dx.doi.org/10.3109/02713683.2015.1075221,scopus,2-s2.0-84945207078
"Puaschunder, J.",The call for global responsible inter-generational leadership: the quest of an integration of inter-generational equity in corporate social responsibility (CSR) models,"Global systemic risks of climate change, over-indebtedness in the aftermath of the 2008 09 World Financial Crisis and the need for pension reform in the wake of an aging Western world population currently raise attention for inter-generational fairness. Pressing social dilemmas beyond the control of singular nation states call for corporate social activities to back governmental regulation in crisis mitigation. The following chapter therefore promotes the idea of inter-generational equity in the corporate world to find an inclusive solution comprised by the public and private sectors. In the given literature on global responsible leadership in the corporate sector and contemporary Corporate Social Responsibility (CSR) models, inter-generational equity appears to have been neglected. While the notion of sustainability has been integrated in CSR models, inter-generational equity has hardly been touched on as for being a more legal case for codifying the triple bottom line. Advocating for integrating intergenerational equity concerns in CSR models in academia and practice holds untapped advantages of economically influential corporate entities, corporate adaptability and independence from voting cycles. Integrating a temporal dimension in contemporary CSR helps imbuing a longer-term perspective into the corporate world alongside advancing tax ethics and global governance crises prevention. Practical implications for the financing of an inter-generational harmonious solution on climate change burden sharing are proposed. Future research avenues comprise of investigating situational factors influencing inter-generational leadership in the international arena in order to advance the idea of corporations tackling the most pressing contemporary challenges of mankind. 2017 by IGI Global. All rights reserved.",2016,2016-01-01,11,Comparative Perspectives on Global Corporate Social Responsibility,,"Puaschunder, J. (University of Vienna, The New School Department of Economics, Austria)",https://dx.doi.org/10.4018/978-1-5225-0720-8.ch014,https://dx.doi.org/10.4018/978-1-5225-0720-8.ch014,scopus,2-s2.0-85016057248
