Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,bib_src
"Zhang X., Zhang T., Lee C.-C.",36810744700;57226815337;8601620600;,The path of financial risk spillover in the stock market based on the R-vine-Copula model,2022,Physica A: Statistical Mechanics and its Applications,600,,127470,,,,21.0,10.1016/j.physa.2022.127470,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131040224&doi=10.1016%2fj.physa.2022.127470&partnerID=40&md5=ed264ff5508824ef4ee9dd1510631510,"Department of Finance, Beijing Jiaotong University, Beijing, China; School of Economics and Management, Nanchang University, Nanchang, China","Zhang, X., Department of Finance, Beijing Jiaotong University, Beijing, China; Zhang, T., Department of Finance, Beijing Jiaotong University, Beijing, China; Lee, C.-C., School of Economics and Management, Nanchang University, Nanchang, China","This research focuses on the direct and indirect systemic risk spillovers among East Asian, European, and U.S. stock markets under the COVID-19 pandemic. Based on the GARCH-Copula-CoVaR model, we construct the direct spillover matrix of systemic risk and further explore the indirect spillover path through R-vine. The empirical results first show via the direct path that Hong Kong exhibited the largest change in value of risk after the pandemic erupted. Second, the indirect path is that European and U.S. stock market risks are transmitted to China domestically via Hong Kong and Japan. The key nodes provide reference for risk prevention. © 2022 Elsevier B.V.",COVID-19 pandemic; GARCH Copula CoVaR; R-complex correlation; Spillover; Systemic financial risk,Financial markets; Complex correlation; Copula models; COVID-19 pandemic; Financial risks; GARCH copula CoVaR; Hong-kong; R-complex correlation; Spillover; Systemic financial risk; Systemic risks; Commerce,"Lee, C.-C.; School of Economics and Management, Nanchang, China; email: cclee6101@gmail.com",,Elsevier B.V.,03784371,,PHYAD,,English,Phys A Stat Mech Appl,Article,Final,,Scopus,2-s2.0-85131040224,scopus
"Zhang Q., Ou Y., Chen R.",54397778800;58154266400;57367838700;,Digitalization and stability in banking sector: a systemic risk perspective,2023,Risk Management,25,2,11,,,,,10.1057/s41283-023-00116-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150729254&doi=10.1057%2fs41283-023-00116-2&partnerID=40&md5=a05011cc9c814b56030bd8df4424dc1f,"College of Finance, Tianjin University of Finance and Economics, No. 25 Zhujiang Road, Hexi District, Tianjin, 300222, China; Center for Finance and Insurance Research, Tianjin University of Finance and Economics, Tianjin, 300222, China","Zhang, Q., College of Finance, Tianjin University of Finance and Economics, No. 25 Zhujiang Road, Hexi District, Tianjin, 300222, China, Center for Finance and Insurance Research, Tianjin University of Finance and Economics, Tianjin, 300222, China; Ou, Y., College of Finance, Tianjin University of Finance and Economics, No. 25 Zhujiang Road, Hexi District, Tianjin, 300222, China, Center for Finance and Insurance Research, Tianjin University of Finance and Economics, Tianjin, 300222, China; Chen, R., College of Finance, Tianjin University of Finance and Economics, No. 25 Zhujiang Road, Hexi District, Tianjin, 300222, China, Center for Finance and Insurance Research, Tianjin University of Finance and Economics, Tianjin, 300222, China","This paper analyzes the relationship between digitalization and systemic risk of commercial banks using data from listed commercial banks from 2010 to 2019. The findings show that the higher the level of digital awareness and the richer the digital products, the lower the systemic risk of banks; the higher the complexity of banks’ digital organization, the higher the systemic risk of banks. The digital development of banks reduces systemic risk overall by optimizing the structure of banks’ deposits and loans, and optimizing the structure of banks' deposits and loans at other levels. The degree of impact of digitalization on the systemic risk of banks differs by their attributes, and regional commercial banks are more affected than large state-owned banks and joint-stock banks. This paper provides useful references for improving banks' refined management, establishing corresponding risk warning mechanisms, and avoiding the risks that information technology may bring. © 2023, The Author(s), under exclusive licence to Springer Nature Limited.",Bank digitization; CoVaR; Listed banks; Non-interest income; Systemic risk,,"Zhang, Q.; College of Finance, No. 25 Zhujiang Road, Hexi District, China; email: zhqingjun@163.com",,Palgrave Macmillan,14603799,,,,English,Risk Manage.,Article,Final,,Scopus,2-s2.0-85150729254,scopus
"Germain M., Laurière M., Pham H., Warin X.",57219621936;56038409000;7201637855;12239134100;,DeepSets and Their Derivative Networks for Solving Symmetric PDEs,2022,Journal of Scientific Computing,91,2,63,,,,1.0,10.1007/s10915-022-01796-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128170242&doi=10.1007%2fs10915-022-01796-w&partnerID=40&md5=b571bfbeab8309f7488f10d15f9a05e0,"EDF R&D, and LPSM, Université Paris Cité, Paris, France; ORFE, Princeton University, Princeton, United States; LPSM, Université Paris Cité, and FiME, and CREST ENSAE, Palaiseau, France; EDF R&D, and FiME, Paris, France","Germain, M., EDF R&D, and LPSM, Université Paris Cité, Paris, France; Laurière, M., ORFE, Princeton University, Princeton, United States; Pham, H., LPSM, Université Paris Cité, and FiME, and CREST ENSAE, Palaiseau, France; Warin, X., EDF R&D, and FiME, Paris, France","Machine learning methods for solving nonlinear partial differential equations (PDEs) are hot topical issues, and different algorithms proposed in the literature show efficient numerical approximation in high dimension. In this paper, we introduce a class of PDEs that are invariant to permutations, and called symmetric PDEs. Such problems are widespread, ranging from cosmology to quantum mechanics, and option pricing/hedging in multi-asset market with exchangeable payoff. Our main application comes actually from the particles approximation of mean-field control problems. We design deep learning algorithms based on certain types of neural networks, named PointNet and DeepSet (and their associated derivative networks), for computing simultaneously an approximation of the solution and its gradient to symmetric PDEs. We illustrate the performance and accuracy of the PointNet/DeepSet networks compared to classical feedforward ones, and provide several numerical results of our algorithm for the examples of a mean-field systemic risk, mean-variance problem and a min/max linear quadratic McKean-Vlasov control problem. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Deep backward scheme; Exchangeability; Mean-field control; Permutation-invariant PDEs; Symmetric neural networks,Approximation algorithms; Deep learning; Economics; Nonlinear equations; Partial differential equations; Quantum theory; Control problems; Deep backward scheme; Exchangeability; Field-control; Mean-field; Mean-field control; Neural-networks; Permutation-invariant partial differential equation; Symmetric neural network; Symmetrics; Numerical methods,"Laurière, M.; ORFE, United States; email: lauriere@princeton.edu",,Springer,08857474,,JSCOE,,English,J Sci Comput,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85128170242,scopus
"Calandrillo S., Anderson N.K.",6508218735;57907712400;,Terrified by technology: How systemic bias distorts U.S. Legal and regulatory responses to emerging technology,2022,University of Illinois Law Review,2022,2,,597,662,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138821530&partnerID=40&md5=9d373e248ac0d04a9a484dc56263d98a,"University of Washington School of Law, United States; Columbia Law School, United States","Calandrillo, S., University of Washington School of Law, United States; Anderson, N.K., Columbia Law School, United States","""Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less."" Marie Curie Americans are becoming increasingly aware of the systemic biases we possess and how those biases preclude us from collectively living out the true meaning of our national creed. But to fully understand systemic bias we must acknowledge that it is pervasive and extends beyond the contexts of race, privilege, and economic status. Understanding all forms of systemic bias helps us to better understand ourselves and our shortcomings. At first glance, a human bias against emerging technology caused by systemic risk misperception might seem uninteresting or unimportant. But this Article demonstrates how the presence of systemic bias anywhere, even in an area as unexpected as technology regulation, creates inefficiencies and inequalities that exact heavy costs in the form of human lives, standards of living, and lost economic opportunities. The decision to regulate or implement an emerging technology, like any other complex decision, naturally involves some form of cost-benefit or risk-reward analysis. However, in the context of emerging technology, that analysis is biased by systemic risk misperception. Immutable characteristics existing in emerging technology combine with interrelated characteristics in human decisionmakers and regulators to inflate perceptions of risks and depress perceptions of benefits. This artificial shifting of cost-benefit curves results in suboptimal legislative and regulatory responses to emerging technology, and ultimately, in the loss of American lives. © 2022 University of Illinois College of Law. All rights reserved.",,,,,University of Illinois College of Law,02769948,,,,English,Univ. Ill. Law Rev.,Article,Final,,Scopus,2-s2.0-85138821530,scopus
Kang M.-K.,26537635100;,The Confidence Trap: Japan’s Past Bubble and China’s Recent Bubble,2018,New Political Economy,23,1,,1,26,,4.0,10.1080/13563467.2017.1321626,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019080809&doi=10.1080%2f13563467.2017.1321626&partnerID=40&md5=6b052bea99d5f3792e9bb8568f179842,"Department of Political Science, Baruch College, CUNY, New York, NY, United States","Kang, M.-K., Department of Political Science, Baruch College, CUNY, New York, NY, United States","This paper explores the origin of China’s recent credit and asset boom by comparing it with the Japanese bubble economy in the late 1980s by focusing on the asymmetric pattern of financial liberalisation under high savings. It argues that (1) both cases show a ‘confidence trap’ in that policy-makers of the government shared a complacent mindset that they can achieve the optimal mix of market liberalisation and repression, while believing that their political economic system is fundamentally different from others; (2) Such complacent confidence precipitated the supply-side driven financial reforms, in which both governments tried to diversify the credit channels of bank deposits by promoting non-bank financial intermediaries; (3) Exogenous shocks played a pivotal role in enforcing the government to take aggressive monetary easing and fiscal expansionary measures. But the Chinese case is different from the Japanese case in that (1) local politics has promoted a ‘too secure to fail’ situation in which rent-seeking activities are difficult to be detected, thus aggravating the hidden systemic risks; (2) China needs to liberalise its capital account with the more strengthened macroprudential regulatory governance, as the global foreign exchange markets have drastically changed from the period of the 1980s. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",asset and credit bubble; Bubble economy; financial crisis; financial liberalisation; macro-prudential regulation; shadow banking,banking; financial crisis; financial market; governance approach; inflation; liberalization; political economy; regulatory framework; savings; twentieth century; China; Japan,"Kang, M.-K.; Department of Political Science, United States; email: myung-koo.kang@baruch.cuny.edu",,Routledge,13563467,,,,English,New Polit. Econ.,Article,Final,,Scopus,2-s2.0-85019080809,scopus
"Wang L., Zhu Z., Huang W., Scheetz J., He M.",57267225900;57190965950;8969461300;57201291269;15765257500;,Association of glaucoma with 10-year mortality in a population-based longitudinal study in urban Southern China: The Liwan Eye Study,2021,BMJ Open,11,10,e040795,,,,1.0,10.1136/bmjopen-2020-040795,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117160980&doi=10.1136%2fbmjopen-2020-040795&partnerID=40&md5=19600cbab65b2afe6385b8f564028872,"State Key Laboratory of Ophthalmology, Zhongshan Ophthalmic Center, Sun Yat-Sen University, Guangdong, Guangzhou, China; Department of Ophthalmology, Guangdong Eye Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China; Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, East Melbourne, VIC, Australia","Wang, L., State Key Laboratory of Ophthalmology, Zhongshan Ophthalmic Center, Sun Yat-Sen University, Guangdong, Guangzhou, China; Zhu, Z., State Key Laboratory of Ophthalmology, Zhongshan Ophthalmic Center, Sun Yat-Sen University, Guangdong, Guangzhou, China, Department of Ophthalmology, Guangdong Eye Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China; Huang, W., State Key Laboratory of Ophthalmology, Zhongshan Ophthalmic Center, Sun Yat-Sen University, Guangdong, Guangzhou, China; Scheetz, J., Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, East Melbourne, VIC, Australia; He, M., State Key Laboratory of Ophthalmology, Zhongshan Ophthalmic Center, Sun Yat-Sen University, Guangdong, Guangzhou, China","Objectives To investigate the association between glaucoma and 10-year mortality rate in an adult population in China. Design Population-based cohort study. Setting The Liwan Eye Study, China. Participants 1405 baseline participants aged 50 years and older were invited to attend a 10-year follow-up examination. Primary and secondary outcome measures The International Society of Geographic and Epidemiologic Ophthalmology criteria was used to define glaucoma. Detailed information of mortality was confirmed using the Chinese Centre for Disease Control and Prevention. Presenting visual impairment (PVI) was defined as a presenting visual acuity of less than 20/40 in the better-seeing eye. The 10-year mortality rates were compared using the log-rank test. Cox proportional hazards regression models were used to investigate the association between glaucoma and mortality. Results A total of 1372 (97.7%) participants with available gonioscopic data were included in the analysis. Of these, 136 (9.9%), 33 (2.4%) and 21 (1.5%) participants had primary angle closure (PAC) suspect (PACS), PAC and PAC glaucoma (PACG), and 29 (2.1%) had primary open angle glaucoma (POAG). After 10 years, 306 (22.3%) participants were deceased. The 10-year mortality was significantly associated with PACG (HR, 2.15, 95% CI 1.14 to 4.04, p=0.018) but not associated with PAC (HR, 1.27, 95% CI 0.67 to 2.39, p=0.463), PACS (HR, 1.32, 95% CI 0.95 to 1.83, p=0.099) and POAG (HR, 0.74, 95% CI 0.36 to 1.49, p=0.395) when age and gender were adjusted for. This association was no longer statistically significant (HR, 1.60, 95% CI 0.70 to 3.61, p=0.263) when covariables, such as income, education, body mass index, PVI, history of diabetes and hypertension, were adjusted for. Larger vertical cup-to-disc ratio (VCDR >0.30) was only a significant risk factor in multivariable analysis (HR, 1.60, 95% CI 1.11 to 2.33, p=0.011). Conclusions PACG was significantly associated with higher long-term mortality, but this association was likely to be confounded by other systemic risk factors. VCDR >0.3 was the only independent predictor, implying that it may be a marker of ageing and frailty. ©",epidemiology; glaucoma; ophthalmology; public health,"adult; aged; Article; best corrected visual acuity; body mass; cataract extraction; China; closed angle glaucoma; cohort analysis; controlled study; cornea thickness; diabetes mellitus; disease association; eye examination; female; follow up; glaucoma; human; hypertension; ICD-9; long term survival; longitudinal study; major clinical study; male; medical history; middle aged; mortality rate; obesity; observational study; open angle glaucoma; proportional hazards model; risk factor; secondary glaucoma; slit lamp microscopy; underweight; vertical cup-to-disc ratio; visual impairment; age distribution; cross-sectional study; epidemiology; glaucoma; intraocular pressure; open angle glaucoma; prevalence; Adult; Age Distribution; Aged; China; Cohort Studies; Cross-Sectional Studies; Glaucoma; Glaucoma, Open-Angle; Humans; Intraocular Pressure; Longitudinal Studies; Middle Aged; Prevalence","He, M.; State Key Laboratory of Ophthalmology, Guangdong, China; email: mingguanghe@gmail.com",,BMJ Publishing Group,20446055,,,34620651.0,English,BMJ Open,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85117160980,scopus
"Tetlock P.E., Lu Y., Mellers B.A.",7004674985;57226258905;7003686114;,False dichotomy alert: Improving subjective-probability estimates vs. raising awareness of systemic risk,2023,International Journal of Forecasting,39,2,,1021,1025,,,10.1016/j.ijforecast.2022.02.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127984066&doi=10.1016%2fj.ijforecast.2022.02.008&partnerID=40&md5=cc8079bea1ef629904015ad7e06e72f6,"University of Pennsylvania, United States; Wharton School, University of Pennsylvania, Philadelphia, PA  19104, United States","Tetlock, P.E., University of Pennsylvania, United States; Lu, Y., University of Pennsylvania, United States; Mellers, B.A., Wharton School, University of Pennsylvania, Philadelphia, PA  19104, United States","Taleb et al. (2022) portray the superforecasting research program as a masquerade that purports to build “survival functions for tail assessments via sports-like tournaments.” But that never was the goal. The program was designed to help intelligence analysts make better probability judgments, which required posing rapidly resolvable questions. From a signal detection theory perspective, the superforecasting and Taleb et al. programs are complementary, not contradictory (a point Taleb and Tetlock (2013) recognized). The superforecasting program aims at achieving high hit rates at low cost in false-positives, whereas Taleb et al. prioritize alerting us to systemic risk, even if that entails a high false-positive rate. Proponents of each program should, however, acknowledge weaknesses in their cases. It is unclear: (a) how Taleb et al. (2022) can justify extreme error-avoidance trade-offs, without tacit probability judgments of rare, high-impact events; (b) how much superforecasting interventions can improve probability judgments of such events. © 2022 International Institute of Forecasters",Fat-tailed distributions; Forecasting tournaments; Proper scoring rules; Signal detection; Superforecasting; Systemic risk,,"Tetlock, P.E.; University of PennsylvaniaUnited States; email: tetlock@wharton.upenn.edu",,Elsevier B.V.,01692070,,IJFOE,,English,Int. J. Forecast.,Note,Final,,Scopus,2-s2.0-85127984066,scopus
"Diebold F.X., Yılmaz K.",23166985700;56274411600;,Reprint of: On the network topology of variance decompositions: Measuring the connectedness of financial firms,2023,Journal of Econometrics,234,,,70,90,,,10.1016/j.jeconom.2023.03.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149885827&doi=10.1016%2fj.jeconom.2023.03.003&partnerID=40&md5=9b487702b912400ec86457dd257fd476,"University of Pennsylvania, United States; Koç University, Turkey","Diebold, F.X., University of Pennsylvania, United States; Yılmaz, K., Koç University, Turkey","We propose several connectedness measures built from pieces of variance decompositions, and we argue that they provide natural and insightful measures of connectedness. We also show that variance decompositions define weighted, directed networks, so that our connectedness measures are intimately related to key measures of connectedness used in the network literature. Building on these insights, we track daily time-varying connectedness of major U.S. financial institutions’ stock return volatilities in recent years, with emphasis on the financial crisis of 2007–2008. © 2023",Asset markets; Credit risk; Degree distribution; Market risk; Portfolio allocation; Risk management; Risk measurement; Systemic risk,Commerce; Investments; Risk assessment; Risk management; Asset markets; Credit risks; Degree distributions; Market risks; Network topology; Portfolio allocation; Risk measurement; Risks management; Systemic risks; Variance decomposition; Network topology,"Diebold, F.X.; Deptartment of Economics, 3718 Locust Walk, United States; email: fdiebold@sas.upenn.edu",,Elsevier Ltd,03044076,,JECMB,,English,J Econom,Article,Final,,Scopus,2-s2.0-85149885827,scopus
"Kumar P., Singh V.K.",57225916443;55863374900;,Examining the Time Varying Spillover Dynamics of Indian Financial Indictors from Global and Local Economic Uncertainty,2023,Journal of Quantitative Economics,21,1,,99,121,,1.0,10.1007/s40953-022-00333-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144195283&doi=10.1007%2fs40953-022-00333-8&partnerID=40&md5=a0f1d588f190e5f3d2f391e921a5bee3,"National Institute of Industrial Engineering (NITIE), Vihar Lake, P.O. NITIE, Mumbai, 400087, India","Kumar, P., National Institute of Industrial Engineering (NITIE), Vihar Lake, P.O. NITIE, Mumbai, 400087, India; Singh, V.K., National Institute of Industrial Engineering (NITIE), Vihar Lake, P.O. NITIE, Mumbai, 400087, India","The research aims to excavate the role of global (Fed Rate, Crude, Real Dollar Index) and endogenous economic variables (GDP and Consumer Price Index) in shaping the spillover amongst the major Indian Financial indicators, viz. Nifty Index, MCX Gold, USDINR, Govt. Bond 10Y maturity and agricultural index N-Krishi. To facilitate cross-comparison decomposition of time-varying spillover output generated from Time-Varying Vector Autoregression (TVP-VAR) with aggregation at three layers is performed. The research finds that Indian Financial Indicators are vulnerable to spillover shocks from global variables predominantly driven by Fed Rate and Real Dollar Index. USDINR turns out to be most sensitive to global shocks and transgresses the shock to other financial indicators. Importantly, persistently high inflation has brought volatility spikes in the directional spillover to financial indicators. Though spillover subsidence is observed post-2014, with an all-time high during GFC, a sudden spurt in all financial indicators has been observed post-Covid-19, with Govt. bonds showing a sporadic rise. An important observation relates to staunch spillover from GDP during GFC with reoccurrence post-Covid. Additionally, a closely knit spillover tie is observed among USDINR, N-Krishi, and Crude. The study is beneficial to RBI to proactively monitor the weakening rupee along with Fed tapering to manage the rising spillover post-Covid-19. The effort of RBI has to be reciprocated by the government in inflation targeting to reinforce the curbing efforts of rising shock spillover. © 2022, The Author(s), under exclusive licence to The Indian Econometric Society.",Connectedness; Fed rate; Indian financial indices; Inflation; Spillover; Systemic risk; TVP-VAR,,"Singh, V.K.; National Institute of Industrial Engineering (NITIE), Vihar Lake, P.O. NITIE, India; email: vksingh@nitie.ac.in",,Springer,09711554,,,,English,J. Quan. Econ.,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85144195283,scopus
"Albuquerque R., Cabral L., Guedes J.",7005471667;7005994741;7003775468;,Incentive Pay and Systemic Risk,2019,Review of Financial Studies,32,11,,4304,4342,,12.0,10.1093/rfs/hhz028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074908825&doi=10.1093%2frfs%2fhhz028&partnerID=40&md5=5c58d53d49ed3f365d3621edb1f018f6,"Boston College, 140 Commonwealth Ave, Chestnut Hill, MA  02467, United States; New York University, United States; Católica Lisbon School of Business and Economics, Portugal","Albuquerque, R., Boston College, 140 Commonwealth Ave, Chestnut Hill, MA  02467, United States; Cabral, L., New York University, United States; Guedes, J., Católica Lisbon School of Business and Economics, Portugal","We show that, in the presence of correlated investment opportunities across firms, risk sharing between firm shareholders and firm managers leads to compensation contracts that include relative performance evaluation. These contracts bias investment choices toward correlated investment opportunities, and thus create systemic risk. Furthermore, we show that leverage amplifies all such effects. In the context of the banking industry, we analyze recent policy recommendations for firm managerial pay and show how shareholders optimally undo the policies' intended effects. Received October 31, 2017; editorial decision August 21, 2018 by Editor Wei Jiang. Authors have furnished an Internet Appendix, which is available on the Oxford University Press Web site next to the link to the final published paper online. © 2019 The Author(s).",,,"Albuquerque, R.; Boston College, 140 Commonwealth Ave, United States; email: rui.albuquerque@bc.edu",,Oxford University Press,08939454,,,,English,Rev. Financ. Stud.,Article,Final,,Scopus,2-s2.0-85074908825,scopus
"Arduca M., Koch-Medina P., Munari C.",57211910047;36809764200;55937775400;,Dual representations for systemic risk measures based on acceptance sets,2021,Mathematics and Financial Economics,15,1,,155,184,,8.0,10.1007/s11579-019-00250-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075290251&doi=10.1007%2fs11579-019-00250-0&partnerID=40&md5=c6a9eba53a93eee55277f954b851e833,"Department of Statistics and Quantitative Methods, University of Milano-Bicocca, Milan, Italy; Center for Finance and Insurance and Swiss Finance Institute, University of Zurich, Zurich, Switzerland","Arduca, M., Department of Statistics and Quantitative Methods, University of Milano-Bicocca, Milan, Italy; Koch-Medina, P., Center for Finance and Insurance and Swiss Finance Institute, University of Zurich, Zurich, Switzerland; Munari, C., Center for Finance and Insurance and Swiss Finance Institute, University of Zurich, Zurich, Switzerland","We establish dual representations for systemic risk measures based on acceptance sets in a general setting. We deal with systemic risk measures of both “first allocate, then aggregate” and “first aggregate, then allocate” type. In both cases, we provide a detailed analysis of the corresponding systemic acceptance sets and their support functions. The same approach delivers a simple and self-contained proof of the dual representation of utility-based risk measures for univariate positions. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.",Dual representations; Macroprudential regulation; Risk measures; Systemic risk,,"Koch-Medina, P.; Center for Finance and Insurance and Swiss Finance Institute, Switzerland; email: pablo.koch@bf.uzh.ch",,Springer Science and Business Media Deutschland GmbH,18629679,,,,English,Math. Financ. Econ.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85075290251,scopus
"Russe-Russe J.R., Alvarez-Betancourt A., Milburn A., Anand P.",57358311500;57388992000;57388992100;8699872400;,Hemi-central retinal vein occlusion as a rare manifestation of the hypercoagulable state in COVID-19,2021,BMJ Case Reports,14,11,e246428,,,,2.0,10.1136/bcr-2021-246428,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121941523&doi=10.1136%2fbcr-2021-246428&partnerID=40&md5=f8e55ade5599863b4af972f410a659f3,"Internal Medicine, Nassau University Medical Center, East Meadow, NY, United States; College of Osteopathic Medicine, NYIT, Old Westbury, NY, United States; Internal Medicine/Rheumatology, Nassau University Medical Center, East Meadow, NY, United States","Russe-Russe, J.R., Internal Medicine, Nassau University Medical Center, East Meadow, NY, United States; Alvarez-Betancourt, A., Internal Medicine, Nassau University Medical Center, East Meadow, NY, United States; Milburn, A., College of Osteopathic Medicine, NYIT, Old Westbury, NY, United States; Anand, P., Internal Medicine/Rheumatology, Nassau University Medical Center, East Meadow, NY, United States","To date, COVID-19 has no definite effective targeted therapy, and management is primarily supportive. Central retinal vein occlusion (CRVO) is frequently caused by systemic risk factors posing hypercoagulable states. In April 2020, a female patient with a history of hypertension, diabetes mellitus and chronic kidney disease presented with 2 days of loose, watery stools, nasal congestion and severe lethargy. The patient denied dyspnoea or fever. A week after the initial symptoms, the patient reported decreased vision from the left eye. Dilated funduscopy and fluorescein angiography suggested hemi-CRVO. The patient refused intravitreal antivascular endothelial growth factor agents because of non-severe visual loss. Testing was positive for COVID-19 IgG antibodies; reverse transcription PCR was not available. Vision improved within 3 weeks of presentation. We recommend that clinicians keep a high suspicion for acute onset of thrombotic events in patients with COVID-19 and thrombotic predisposing risk factors. © BMJ Publishing Group Limited 2021. No commercial re-use. See rights and permissions. Published by BMJ.",COVID-19; retina; venous thromboembolism,Article; case report; central retina vein occlusion; clinical article; clinical feature; clinical outcome; coronavirus disease 2019; COVID-19-associated coagulopathy; differential diagnosis; disease association; disease severity; eye examination; female; follow up; hemiretinal vein occlusion; human; hyperviscosity syndrome; immunoassay; lethargy; medical history; nose obstruction; ocular ischemic syndrome; ophthalmoscopy; retina fluorescein angiography; treatment refusal; visual acuity; fluorescence angiography; retina vein occlusion; COVID-19; Female; Fluorescein Angiography; Humans; Ophthalmoscopy; Retinal Vein Occlusion; SARS-CoV-2,"Russe-Russe, J.R.; Internal Medicine, United States; email: joseramonrusserusse@gmail.com",,BMJ Publishing Group,1757790X,,,34725066.0,English,BMJ Case Rep.,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85121941523,scopus
Rizwan M.S.,57190214648;,Macroprudential regulations and systemic risk: Does the one-size-fits-all approach work?,2021,"Journal of International Financial Markets, Institutions and Money",74,,101409,,,,6.0,10.1016/j.intfin.2021.101409,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113397335&doi=10.1016%2fj.intfin.2021.101409&partnerID=40&md5=d136876b61656dd400bf73b9a0ad7768,"NUST Business School (NBS), National University of Sciences and Technology (NUST), Islamabad, Pakistan","Rizwan, M.S., NUST Business School (NBS), National University of Sciences and Technology (NUST), Islamabad, Pakistan","This study empirically investigates whether systemic risk varies among countries with different income levels in response to macroprudential policy instruments (MPIs). The results suggest a negative association between overall MPIs and systemic risk using a sample of 68 countries covering the period between 2000 and 2017. However, not all instruments show intended stability benefits, especially for low and lower-middle-income economies. A comparative analysis reveals that upper-middle-income and high-income countries do receive stability benefits from MPIs. However, low and lower-middle-income economies show unintended instability costs in connection with MPIs, suggesting that a one-size-fits-all approach to macroprudential regulations is not beneficial. Low and lower-middle-income countries should carefully ascertain the choice, implementation, and monitoring of macroprudential policies. © 2021 Elsevier B.V.",Cross-country analysis; Macroprudential policies; Systemic risk; Systemic stability,,,,Elsevier Ltd,10424431,,,,English,J. Int. Financ. Mark. Inst. Money,Article,Final,,Scopus,2-s2.0-85113397335,scopus
